benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
2,GS,dna4,0,65536,649.441,981.493,0
2,GS,dna4,0,131072,1367.1,1865.06,0
2,GS,dna4,0,262144,2919.95,3969.15,0
2,GS,dna4,1,65536,629.613,805.096,0
2,GS,dna4,1,131072,1352.22,1776.94,0
2,GS,dna4,1,262144,2927.33,3880.08,0
2,GVsd,dna4,0,65536,3420670.0,3408120.0,0
2,GVsd,dna4,0,131072,6756000.0,6728500.0,0
2,GVsd,dna4,0,262144,13220200.0,13164100.0,0
2,GVsd,dna4,1,65536,7842740.0,7779060.0,0
2,GVsd,dna4,1,131072,14196400.0,14085300.0,0
2,GVsd,dna4,1,262144,28238300.0,28017300.0,0
2,GVbit,dna4,0,65536,1864790.0,1991870.0,0
2,GVbit,dna4,0,131072,2759850.0,3104980.0,0
2,GVbit,dna4,0,262144,5473600.0,6164890.0,0
2,GVbit,dna4,1,65536,2215220.0,2337060.0,0
2,GVbit,dna4,1,131072,2343540.0,2820730.0,0
2,GVbit,dna4,1,262144,4451760.0,5430470.0,0
2,AL,dna4,0,65536,5576.32,7811.37,0
2,AL,dna4,0,131072,5616.45,7896.51,0
2,AL,dna4,0,262144,5603.92,7874.42,0
2,AL,dna4,1,65536,141856.0,154073.0,0
2,AL,dna4,1,131072,281516.0,304777.0,0
2,AL,dna4,1,262144,562359.0,611060.0,0
2,AS,dna4,0,65536,93833.9,144636.0,0
2,AS,dna4,0,131072,101596.0,159921.0,0
2,AS,dna4,0,262144,104664.0,166125.0,0
2,AS,dna4,1,65536,3570110.0,4518980.0,0
2,AS,dna4,1,131072,7303490.0,9296270.0,0
2,AS,dna4,1,262144,15494900.0,19727300.0,0
2,AB,dna4,0,65536,45447.6,51882.1,0
2,AB,dna4,0,131072,86385.9,98373.7,0
2,AB,dna4,0,262144,168009.0,191052.0,0
2,AB,dna4,1,65536,34417.4,37979.0,0
2,AB,dna4,1,131072,69747.0,76996.0,0
2,AB,dna4,1,262144,134919.0,149765.0,0
