benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
2,GS,dna4,0,8,15.4186,70.4001,0
2,GS,dna4,0,16,15.5236,69.8037,0
2,GS,dna4,0,32,15.5371,71.0147,0
2,GS,dna4,0,64,15.4316,69.4336,0
2,GS,dna4,0,128,15.4663,69.4032,0
2,GS,dna4,0,256,15.5037,60.3548,0
2,GS,dna4,0,512,15.2208,59.3608,0
2,GS,dna4,0,1024,15.4902,60.3325,0
2,GS,dna4,0,2048,16.4974,64.4231,0
2,GS,dna4,0,4096,18.2604,71.5162,0
2,GS,dna4,0,8192,21.79,86.1588,0
2,GS,dna4,0,16384,28.1652,114.941,0
2,GS,dna4,0,32768,41.5312,185.226,0
2,GS,dna4,0,65536,70.4124,314.991,0
2,GS,dna4,0,131072,132.967,610.372,0
2,GS,dna4,0,262144,268.509,1249.91,0
2,GS,dna4,1,8,21.2227,85.5889,0
2,GS,dna4,1,16,19.3504,75.4035,0
2,GS,dna4,1,32,19.3511,75.3939,0
2,GS,dna4,1,64,19.2926,75.0772,0
2,GS,dna4,1,128,19.486,80.1475,0
2,GS,dna4,1,256,19.7067,76.6769,0
2,GS,dna4,1,512,19.8738,77.4149,0
2,GS,dna4,1,1024,20.3544,79.1997,0
2,GS,dna4,1,2048,21.6961,84.6612,0
2,GS,dna4,1,4096,24.128,94.3669,0
2,GS,dna4,1,8192,28.7696,113.544,0
2,GS,dna4,1,16384,36.7509,147.994,0
2,GS,dna4,1,32768,42.0928,176.092,0
2,GS,dna4,1,65536,69.5457,303.479,0
2,GS,dna4,1,131072,130.683,585.079,0
2,GS,dna4,1,262144,271.156,1254.31,0
2,GVsd,dna4,0,8,4887.69,29338.4,0
2,GVsd,dna4,0,16,4937.94,29555.6,0
2,GVsd,dna4,0,32,5055.72,29953.2,0
2,GVsd,dna4,0,64,5319.23,30912.2,0
2,GVsd,dna4,0,128,5800.4,32773.8,0
2,GVsd,dna4,0,256,6675.48,36051.6,0
2,GVsd,dna4,0,512,8241.97,41643.0,0
2,GVsd,dna4,0,1024,10987.4,51012.2,0
2,GVsd,dna4,0,2048,16471.8,71227.1,0
2,GVsd,dna4,0,4096,27020.4,111022.0,0
2,GVsd,dna4,0,8192,47787.2,190909.0,0
2,GVsd,dna4,0,16384,89257.7,352220.0,0
2,GVsd,dna4,0,32768,171846.0,674660.0,0
2,GVsd,dna4,0,65536,429595.0,1756580.0,0
2,GVsd,dna4,0,131072,710559.0,2781880.0,0
2,GVsd,dna4,0,262144,1365960.0,5343780.0,0
2,GVsd,dna4,1,8,5060.92,30306.8,0
2,GVsd,dna4,1,16,5190.21,30695.7,0
2,GVsd,dna4,1,32,5386.46,31203.5,0
2,GVsd,dna4,1,64,5963.73,33050.6,0
2,GVsd,dna4,1,128,6892.26,35786.4,0
2,GVsd,dna4,1,256,9010.38,42858.8,0
2,GVsd,dna4,1,512,12728.2,55330.5,0
2,GVsd,dna4,1,1024,20166.9,81949.1,0
2,GVsd,dna4,1,2048,35427.3,139761.0,0
2,GVsd,dna4,1,4096,64486.2,251563.0,0
2,GVsd,dna4,1,8192,123728.0,481548.0,0
2,GVsd,dna4,1,16384,243726.0,947753.0,0
2,GVsd,dna4,1,32768,478803.0,1861250.0,0
2,GVsd,dna4,1,65536,836216.0,3251360.0,0
2,GVsd,dna4,1,131072,1642680.0,6386400.0,0
2,GVsd,dna4,1,262144,3384450.0,13161900.0,0
2,GVbit,dna4,0,8,1450.57,8391.88,0
2,GVbit,dna4,0,16,1477.46,8472.01,0
2,GVbit,dna4,0,32,1536.68,8648.96,0
2,GVbit,dna4,0,64,1664.52,9059.92,0
2,GVbit,dna4,0,128,1908.97,9881.15,0
2,GVbit,dna4,0,256,2381.38,11584.2,0
2,GVbit,dna4,0,512,3285.16,14990.9,0
2,GVbit,dna4,0,1024,4988.79,21581.6,0
2,GVbit,dna4,0,2048,8119.82,33679.8,0
2,GVbit,dna4,0,4096,14305.1,58224.7,0
2,GVbit,dna4,0,8192,26720.7,108211.0,0
2,GVbit,dna4,0,16384,51702.5,209241.0,0
2,GVbit,dna4,0,32768,101515.0,410885.0,0
2,GVbit,dna4,0,65536,201111.0,814218.0,0
2,GVbit,dna4,0,131072,294845.0,1237990.0,0
2,GVbit,dna4,0,262144,577208.0,2424030.0,0
2,GVbit,dna4,1,8,1465.38,8438.11,0
2,GVbit,dna4,1,16,1438.43,8265.5,0
2,GVbit,dna4,1,32,1498.21,8459.41,0
2,GVbit,dna4,1,64,1604.45,8763.36,0
2,GVbit,dna4,1,128,1824.32,9459.25,0
2,GVbit,dna4,1,256,2298.13,11034.0,0
2,GVbit,dna4,1,512,3153.45,14011.3,0
2,GVbit,dna4,1,1024,4994.29,20956.1,0
2,GVbit,dna4,1,2048,8636.45,35275.7,0
2,GVbit,dna4,1,4096,16043.5,64926.5,0
2,GVbit,dna4,1,8192,30107.9,121296.0,0
2,GVbit,dna4,1,16384,58838.7,236942.0,0
2,GVbit,dna4,1,32768,115866.0,466627.0,0
2,GVbit,dna4,1,65536,235110.0,947016.0,0
2,GVbit,dna4,1,131072,263774.0,1140410.0,0
2,GVbit,dna4,1,262144,510919.0,2216610.0,0
2,AS,dna4,0,8,215.211,862.264,0
2,AS,dna4,0,16,292.401,1204.19,0
2,AS,dna4,0,32,397.539,1757.21,0
2,AS,dna4,0,64,751.867,3589.19,0
2,AS,dna4,0,128,1284.35,6726.52,0
2,AS,dna4,0,256,2419.67,13410.0,0
2,AS,dna4,0,512,3762.43,22192.7,0
2,AS,dna4,0,1024,4857.33,30108.7,0
2,AS,dna4,0,2048,5492.49,35895.8,0
2,AS,dna4,0,4096,6090.39,41850.3,0
2,AS,dna4,0,8192,6682.64,47188.1,0
2,AS,dna4,0,16384,6644.96,47544.0,0
2,AS,dna4,0,32768,6700.16,48220.4,0
2,AS,dna4,0,65536,6723.52,48586.1,0
2,AS,dna4,0,131072,6780.48,49142.4,0
2,AS,dna4,0,262144,6759.41,48997.7,0
2,AS,dna4,1,8,97.5574,424.853,0
2,AS,dna4,1,16,221.62,901.882,0
2,AS,dna4,1,32,366.056,1503.19,0
2,AS,dna4,1,64,839.217,3624.99,0
2,AS,dna4,1,128,1491.04,6433.17,0
2,AS,dna4,1,256,3065.62,13618.0,0
2,AS,dna4,1,512,5341.82,23167.1,0
2,AS,dna4,1,1024,9510.51,40407.8,0
2,AS,dna4,1,2048,17991.6,76020.9,0
2,AS,dna4,1,4096,33526.2,140789.0,0
2,AS,dna4,1,8192,68049.1,286355.0,0
2,AS,dna4,1,16384,137689.0,582001.0,0
2,AS,dna4,1,32768,279288.0,1183580.0,0
2,AS,dna4,1,65536,579751.0,2460360.0,0
2,AS,dna4,1,131072,1179390.0,5007730.0,0
2,AS,dna4,1,262144,2464240.0,10462900.0,0
2,AB,dna4,0,8,37.9555,157.804,0
2,AB,dna4,0,16,34.5216,136.136,0
2,AB,dna4,0,32,37.9894,151.33,0
2,AB,dna4,0,64,46.3037,191.151,0
2,AB,dna4,0,128,57.9353,248.798,0
2,AB,dna4,0,256,108.201,505.474,0
2,AB,dna4,0,512,97.5821,388.584,0
2,AB,dna4,0,1024,139.771,564.905,0
2,AB,dna4,0,2048,240.218,981.984,0
2,AB,dna4,0,4096,384.973,1595.66,0
2,AB,dna4,0,8192,654.873,2730.34,0
2,AB,dna4,0,16384,1271.13,5319.31,0
2,AB,dna4,0,32768,2460.26,10281.1,0
2,AB,dna4,0,65536,4734.07,19711.7,0
2,AB,dna4,0,131072,9214.77,38272.6,0
2,AB,dna4,0,262144,18288.9,75930.2,0
2,AB,dna4,1,8,35.3412,147.996,0
2,AB,dna4,1,16,34.0892,134.827,0
2,AB,dna4,1,32,37.6597,151.21,0
2,AB,dna4,1,64,48.3117,201.796,0
2,AB,dna4,1,128,58.8564,260.556,0
2,AB,dna4,1,256,97.1626,457.509,0
2,AB,dna4,1,512,94.6156,394.847,0
2,AB,dna4,1,1024,106.456,425.052,0
2,AB,dna4,1,2048,163.249,660.339,0
2,AB,dna4,1,4096,243.39,1012.74,0
2,AB,dna4,1,8192,415.228,1725.21,0
2,AB,dna4,1,16384,783.927,3262.03,0
2,AB,dna4,1,32768,1496.82,6248.09,0
2,AB,dna4,1,65536,2973.22,12419.6,0
2,AB,dna4,1,131072,5993.62,25084.3,0
